"id_artigo","titulo","abstract","n_paginas","tipo_artigo","lingua","n_edicao"
"1","Visualiza��o tridimensional de dados espaciais em ambientes distribu�dos baseados no web","This paper discusses how the apllication of existing technology for representing 3D informafion on virtual reality and for managing structured documents can be useful to the development of Web�based Geographic Information Systems. It is presented a generic and extensible solution, based on Resource Description Framework � RDF, for the introduction of meaning to the elements of the Virtual Modeling Language � VRML. The paper also presents an extensible an highly interactive for Geographic Information Systems, based on such solution.","","","portuguese","1"
"2","Handling complexity in GIS interface design","This work presents a proposal for an interface for a GIS which is aimed at handling the complexity of the different data models and representation structures needed to deal with geoographic information on the computer. We discuss the requirements for such interfaces, analyse the benefits and drawbacks of existing systems, and propose a new interface, to be used in the next versions of SPRING, a geographical information system developed by INPE.","","","english","1"
"3","M�ltiplas representa��es em aplica��es urbanas de sistemas de informa��o geogr�ficos","Considering the costs and the effort associated with the construction of geographic databases, it is important to search for instruments that increase GIS usefulness through data sharing among different user groups, each one of them with a particular set of applications. However, distinct applications often have diverse perceptions of reality, and therefore work with different sets of concepts about the same geographic entity. These differences often require more than one representation for each geographic entity. Thus, if several applications share the same geographic database, the GIS must take over the responsibility to allow multiple representations for each geographic entity, each one of them adequate for a group of applications. This need is particularly important in the case of urban GIS applications, in which there is a wide variety of information classes and potential users, each with its particular needs regarding the representation of the objects. This article presents an analysis of the multiple representations problem in GIS, indicating the need for this feature in urban applications through examples. Alternatives are discussed, and potential problems for the implementation of this feature in GIS are indicated.","","","portuguese","1"
"4","Spatial information appliances: a next generation of geographic information systems","Over the next decade many developments in existing and new information technologies are likely to affect the ways in which science is done, decisions are made, and society operates. Early evidence of these trends is already available in the form of new satellite sensors, the diffusion and miniaturization of GPS receivers, greater Internet bandwidth, cheaper and larger storage, digital libraries, the growth of the WWW, palm-top and pen-based computers, and wireless communication. These technologies will provide exciting new opportunities to improve dramatically decision making and problem solving in the geo-spatial domain. They will also accelerate the trend of moving information technology off the desktop and into the field and into the hands of scientists, professionals, and citizens who discover, work, or perform leisure activities. Devices that combine a hand-held computer with a GPS receiver, a cellular phone, and a digital camera will enable users to integrate spatial analysis into their daily lives, opening geographic information systems (GISs) to the mass markets of day-to-day use. Such Spatial Information Appliances (SIAs) will differ significantly from today's multi-purpose GISs, because we envision a whole family of portable SIAs that will be tailored to specific needs. Smart glasses, for instance, will allow people to augment reality by seeing additional thematic information or seeing through obstacles. Smart Compasses will be based on entry-level Personal Digital Assistants, giving directions in the field on such dynamic phenomena as weather-fronts or congestions. The Geo-Wand will allow users to query geographic space by pointing to features in the real world.This talk will sketch this vision of ubiquitous geospatial computing and will discuss challenging new research questions about the spatial concepts people employ when they move through space, the interaction styles and modalities people use in the field, the particularities about processing spatial queries posed in the field, the efficient handling of massive amounts of spatio-temporal data, and the on-the-fly integration of new field observations with data warehouses across a distributed information network.","","","english","1"
"5","Integrating geostatistical tools in geographical information systems","Geostatistical analysis can be used for spatial modelling in a diversity of geographic applications. In particular, geostatistical methods and tools are of great utility when searching for surface models for fitting a data set sampled as points. By exploring the spatial structure of the data being modeled, the geostatistics yields procedures for surface estimation that contemplates the spatial variability inherent to, for instance, a large set of environmental data. At the same time these developments can generate a spatial estimate of the uncertainty of the information conveyed by those surface representing the attribute information. When developing a geographical application on a GIS platform that has no geostatistical tools, these analysis are performed by exchanging the data to be modeled between the GIS and the geostatistical package where the analysis will take place. These back and forth procedure can be very cumbersome, and in fact , can take a lot of time out that should be used in the task of being thinking on the modelling for that data. These are some reasons for the current trend to incorporate geostatistical facilities in the most popular GIS packages. Initial efforts has been done in the direction to integrate a geostatistical module in the GIS software. Unfortunately these is not enough to guarantee that the geostatistical power is fully incorporated in geographic analysis using GIS packages. Geostatistical procedures must be implemented as operators to be used in spatial modelling languages. Also, the uncertainty related to the modeled data should be considered and propagated to the results of a spatial model that contains non-deterministic parameters and data. This paper addresses the central aspects involved in the incorporation of geostatistical facilities in a GIS modelling environment. The requirements for a geostatistical module to be aggregated into a GIS package and the issues related to geostatistical and error propagation operators in GIS modeling languages are presented and discussed.","","","english","1"
"6","Efficient map visualization on the web","O Sistema Automatizado de Ger�ncia de Rede Externa (SAGRE) � um Sistema de Opera��es desenvolvido pelo CPqD para gerenciar a expans�o, moderniza��o e opera��o da rede externa, atuando como elemento integrador e padronizador nos procedimentos operacionais distribu�dos pelos diversos departamentos das Empresas Operadoras de Telecomunica��es. O SAGRE controla e opera automaticamente: Mapa Urbano; Estudos de mercado e demanda; Registro das redes de canaliza��o e cabos (�pticos e met�licos); Projeto de engenharia e manuten��o; Processo de planejamento empresarial; Ger�ncia das facilidades e manuten��o da rede.","","","english","1"
"7","Projeto de banco de dados geogr�ficos: mapeando esquemas GeoFrame para o SIG Spring","GeoFrame is a conceptual framework developed for geographic data conceptual modeling. This paper describes an experiment of mapping data conceptual schema developed on the basis of GeoFrame, into the Geographic Information System Spring.","","","portuguese","1"
"8","O sistema automatizado de ger�ncia de rede externa (SAGRE)","O Sistema Automatizado de Ger�ncia de Rede Externa (SAGRE) � um Sistema de Opera��es desenvolvido pelo CPqD para gerenciar a expans�o, moderniza��o e opera��o da rede externa, atuando como elemento integrador e padronizador nos procedimentos operacionais distribu�dos pelos diversos departamentos das Empresas Operadoras de Telecomunica��es. O SAGRE controla e opera automaticamente: Mapa Urbano; Estudos de mercado e demanda; Registro das redes de canaliza��o e cabos (�pticos e met�licos); Projeto de engenharia e manuten��o; Processo de planejamento empresarial; Ger�ncia das facilidades e manuten��o da rede.","","","portuguese","1"
"9","Qualidade dos dados e Interoperabilidade em SIG","Interoperability in GIS is an issue of growing importance, due to the increase in number and volume of available data sources and to the exponential expansion of new applications and systems. Research in this area involve solutions directed towards the different layers of an information system (interoperability based on common interface design, process interoperability or interoperability through data). The goal of this paper is to point out issues concerning interoperability at the data level. In particular, the text analyses issues related to the quality of geographic data as an additional dimension that must be taken into consideration in the cases of data migration and integration.","","","portuguese","1"
"10","GIS and remote sensing application on precision agriculture","Global market economy and high competition in prices has led the agricultural sector in Brazil to search for more efficiency and a better information control at field level. Furthermore, the high pressure for natural resources conservation and less soil pollution is another factor to influencing new mentalities to operate th e production process. Precision agriculture is a being used as a form to reach efficiency through the site specific management of crops. It uses GIS, GPS and Remote Sensing technologies to produce and manage soil and crop variability maps in order to optim ise the use of fertilizers and chemicals on agriculture. To study and understand the causes for crop yield and soil variability problems is a challenge to soil and crop management, mainly in nutrition and spraying application, where the site specific manag ement using precision farming technology will have a very important role in the near future. Geotechnologies such as GIS, GPS and Remote Sensing are the key to manipulate the huge amount of information generated at site specific level for each field withi n a farm. Some experiments are being conduced in order to introduce this technology in Brazil, and the data is being processed using geostatistics, GIS and remote sensing techniques. The main goal of this presentation is to show the experiments, the method ology used and some results.","","","english","1"
"11","Consultas visuais em sistemas de informa��es geogr�ficas baseadas em padr�es de metadados espaciais","This article proposes an environment for visual queries in Geographical Information Systems (GIS). The queries use visual elements and spatial operators, and each element is represented according to a standard for digital geospatial metadata. Based on this description of metadata we propose to create a Standard to Visualize Spatial Data, and a new Visual Query Language to be used for GIS users. The main objective of the proposed system is to improve the friendliness to query a GIS, which is achieved by using pictorial information to build query clauses and by reducing the differences among GIS internal structures, using this Visual Standard.","","","portuguese","1"
